,Unnamed: 0,Unnamed: 0.1,text,Stopword,grup
1207,1571,1571, things we can learn from bts rm about life ,"['things', 'learn', 'bts', 'rm', 'life']",bts
1217,1581,1581, remixes of bts songs that are just as lit as the original ,"['remixes', 'bts', 'songs', 'lit', 'original']",bts
1222,1586,1586, times btss drastic size differences were captured on camera ,"['times', 'btss', 'drastic', 'size', 'differences', 'captured', 'camera']",bts
1226,1590,1590,these are each bts members harry potter hogwarts houses according to rm ,"['bts', 'members', 'harry', 'potter', 'hogwarts', 'houses', 'according', 'rm']",bts
1228,1592,1592, times suga was so soft for bts he nearly became marshmallow ,"['times', 'suga', 'soft', 'bts', 'nearly', 'became', 'marshmallow']",bts
1231,1595,1595,fans caught btss backup dancer switching loyalties mid performance ,"['fans', 'caught', 'btss', 'backup', 'dancer', 'switching', 'loyalties', 'mid', 'performance']",bts
1234,1598,1598,btss jimin left behind touching surprise gift on his flight to los angeles ,"['btss', 'jimin', 'left', 'behind', 'touching', 'surprise', 'gift', 'flight', 'los', 'angeles']",bts
1240,1604,1604,these videos of bts v most successful fanboy will make you incredibly jealous ,"['videos', 'bts', 'v', 'successful', 'fanboy', 'make', 'incredibly', 'jealous']",bts
1241,1605,1605,remember when bts jimin was first revealed to us years ago ,"['remember', 'bts', 'jimin', 'first', 'revealed', 'us', 'years', 'ago']",bts
1246,1610,1610, bts dolls that will make you say shut up and take my money ,"['bts', 'dolls', 'make', 'say', 'shut', 'take', 'money']",bts
1248,1612,1612,btss had trouble finding his parents in the crowd fans are crying ,"['btss', 'trouble', 'finding', 'parents', 'crowd', 'fans', 'crying']",bts
1261,1625,1625,armys become sherlock and identify all the places shown in bts jungkook selfie ,"['armys', 'become', 'sherlock', 'identify', 'places', 'shown', 'bts', 'jungkook', 'selfie']",bts
1266,1630,1630, more things you might have missed in bts interlude shadow comeback trailer ,"['things', 'might', 'missed', 'bts', 'interlude', 'shadow', 'comeback', 'trailer']",bts
1268,1632,1632,bts v most romantic comment left on weverse has armys losing their minds ,"['bts', 'v', 'romantic', 'comment', 'left', 'weverse', 'armys', 'losing', 'minds']",bts
1273,1637,1637,bts v takes ride on the subway station and no one knew it was him ,"['bts', 'v', 'takes', 'ride', 'subway', 'station', 'one', 'knew']",bts
1275,1639,1639,bts suga poem from past run bts episode resurfaces after release of comeback trailer ,"['bts', 'suga', 'poem', 'past', 'run', 'bts', 'episode', 'resurfaces', 'release', 'comeback', 'trailer']",bts
1294,1658,1658,bts sets new record by selling the most albums in gaon chart history ,"['bts', 'sets', 'new', 'record', 'selling', 'albums', 'gaon', 'chart', 'history']",bts
1297,1661,1661,bts is one of the biggest groups in the world not just in kpop ,"['bts', 'one', 'biggest', 'groups', 'world', 'kpop']",bts
1301,1665,1665,bts mentioned in american comic strip armys stoked for the mainstream reference ,"['bts', 'mentioned', 'american', 'comic', 'strip', 'armys', 'stoked', 'mainstream', 'reference']",bts
1316,1680,1680, bts optical illusions that played tricks on everyone eyes ,"['bts', 'optical', 'illusions', 'played', 'tricks', 'everyone', 'eyes']",bts
1317,1681,1681,bts soulmates and jimin are changing how the world sees men holding hands ,"['bts', 'soulmates', 'jimin', 'changing', 'world', 'sees', 'men', 'holding', 'hands']",bts
1318,1682,1682,bts jin was willing to wait until the end of time for selfie ,"['bts', 'jin', 'willing', 'wait', 'end', 'time', 'selfie']",bts
1320,1684,1684,bts ego comeback trailer what can we expect ,"['bts', 'ego', 'comeback', 'trailer', 'expect']",bts
1321,1685,1685,bts sugas tweet from might be the best explanation to his fear described in shadow ,"['bts', 'sugas', 'tweet', 'might', 'best', 'explanation', 'fear', 'described', 'shadow']",bts
1323,1687,1687,bts suga once said hiphop does not have aegyo only to prove himself wrong ,"['bts', 'suga', 'said', 'hiphop', 'aegyo', 'prove', 'wrong']",bts
1324,1688,1688, of bts suga darkest and most heartbreaking lyrics ,"['bts', 'suga', 'darkest', 'heartbreaking', 'lyrics']",bts
1327,1691,1691,bts shadow and persona trailers here how they connect ,"['bts', 'shadow', 'persona', 'trailers', 'connect']",bts
1328,1692,1692,bts track spring day has returned to the music charts again ,"['bts', 'track', 'spring', 'day', 'returned', 'music', 'charts']",bts
1330,1694,1694,btss shadow trailer might be referencing sugas predebut accident ,"['btss', 'shadow', 'trailer', 'might', 'referencing', 'sugas', 'predebut', 'accident']",bts
1337,1701,1701,bts dna mv hits million views and its the first kpop boy group mv to do so ,"['bts', 'dna', 'mv', 'hits', 'million', 'views', 'first', 'kpop', 'boy', 'group', 'mv']",bts
1341,1705,1705,these rising rookie hoobaes look up to bts v as their role model ,"['rising', 'rookie', 'hoobaes', 'look', 'bts', 'v', 'role', 'model']",bts
1342,1706,1706,justin bieber thanks bts jungkook for promoting his new song ,"['justin', 'bieber', 'thanks', 'bts', 'jungkook', 'promoting', 'new', 'song']",bts
1343,1707,1707,everything you need to know about the door in bts shadow comeback trailer ,"['everything', 'need', 'know', 'door', 'bts', 'shadow', 'comeback', 'trailer']",bts
1353,1717,1717,bts v was ready to give up his favorite thing in the world all for little kid ,"['bts', 'v', 'ready', 'give', 'favorite', 'thing', 'world', 'little', 'kid']",bts
1355,1719,1719,what happens to bts jimin when he is in great mood well his personality explodes ,"['happens', 'bts', 'jimin', 'great', 'mood', 'well', 'personality', 'explodes']",bts
1365,1729,1729,dr phil receives backlash for calling bts jimin manufactured ,"['dr', 'phil', 'receives', 'backlash', 'calling', 'bts', 'jimin', 'manufactured']",bts
1370,1734,1734,oli london reveals which surgeries he had to look like bts jimin ,"['oli', 'london', 'reveals', 'surgeries', 'look', 'like', 'bts', 'jimin']",bts
1372,1736,1736,dr phil encourages bts jimin superfan oli london to love himself ,"['dr', 'phil', 'encourages', 'bts', 'jimin', 'superfan', 'oli', 'london', 'love']",bts
1375,1739,1739,bts webtoon may have dropped spoilers for map of the soul ,"['bts', 'webtoon', 'may', 'dropped', 'spoilers', 'map', 'soul']",bts
1379,1743,1743,nobody is more hyped for bts shadow than jimin ,"['nobody', 'hyped', 'bts', 'shadow', 'jimin']",bts
1383,1747,1747, things you might have missed in bts shadow comeback trailer ,"['things', 'might', 'missed', 'bts', 'shadow', 'comeback', 'trailer']",bts
1390,1754,1754,bts drops shadow comeback trailer for new album map of the soul ,"['bts', 'drops', 'shadow', 'comeback', 'trailer', 'new', 'album', 'map', 'soul']",bts
1391,1755,1755,bts jungkook self hairstyling is the cutest thing you ll see today ,"['bts', 'jungkook', 'self', 'hairstyling', 'cutest', 'thing', 'see', 'today']",bts
1396,1760,1760, bts dance moves that will have you wrecked ,"['bts', 'dance', 'moves', 'wrecked']",bts
1405,1769,1769,here how fan are preparing for bts comeback ,"['fan', 'preparing', 'bts', 'comeback']",bts
1408,1772,1772,suga made cry for over minutes after sending him this message ,"['suga', 'made', 'cry', 'minutes', 'sending', 'message']",bts
1415,1779,1779, times bts suga was so done with receiving v love and affection ,"['times', 'bts', 'suga', 'done', 'receiving', 'v', 'love', 'affection']",bts
1423,1787,1787, of bts jungkook original art pieces that deserve to be in gallery ,"['bts', 'jungkook', 'original', 'art', 'pieces', 'deserve', 'gallery']",bts
1426,1790,1790, times bts friendship with halsey brightened everybody day ,"['times', 'bts', 'friendship', 'halsey', 'brightened', 'everybody', 'day']",bts
1431,1795,1795,temporary bts jungkook tattoos are being sold in japan ,"['temporary', 'bts', 'jungkook', 'tattoos', 'sold', 'japan']",bts
1435,1799,1799,this hidden message in bts comeback map will blow your mind ,"['hidden', 'message', 'bts', 'comeback', 'map', 'blow', 'mind']",bts
1437,1801,1801,bts jimin was the perfect partner in crime for v plan ,"['bts', 'jimin', 'perfect', 'partner', 'crime', 'v', 'plan']",bts
1441,1805,1805,bts drops release schedule for new album comeback trailer details ,"['bts', 'drops', 'release', 'schedule', 'new', 'album', 'comeback', 'trailer', 'details']",bts
1446,1810,1810,president moon jae in claims the saudi crown prince begged to see bts ,"['president', 'moon', 'jae', 'claims', 'saudi', 'crown', 'prince', 'begged', 'see', 'bts']",bts
1447,1811,1811,bts releases new details for map of the soul album ,"['bts', 'releases', 'new', 'details', 'map', 'soul', 'album']",bts
